Experiment ID,Group,Layer,transgenic-line,strain,gender,injection-coordinates,injection-volume
263106036,PrL/MO,L5,Rbp4-Cre_KL100,unknown,M,"[3700, 3500, 6000]",0.321523
263242463,FrA,L5,Rbp4-Cre_KL100,unknown,F,"[2600, 2700, 7200]",0.169063
263780729,Vis,L234,Cux2-IRES-Cre,unknown,M,"[9000, 1400, 7900]",0.171675
264629246,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[6400, 1400, 7400]",0.011544
264630019,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,F,"[9400, 2600, 9600]",0.029828
266486371,S1/2,L234,Cux2-IRES-Cre,B6.Cg,F,"[7200, 1300, 8700]",0.105705
266487079,Vis,L234,Cux2-IRES-Cre,B6.Cg,M,"[8700, 1700, 8900]",0.108468
266644610,S1/2,L234,Cux2-IRES-Cre,unknown,F,"[6100, 1400, 7600]",0.136925
272414403,Rhi/Tem,All,WT,C57BL/6J,M,"[9500, 3600, 9800]",0.258675
272735030,S1/2,L5,Rbp4-Cre_KL100,B6.Cg,M,"[7400, 1600, 8500]",0.081838
272735744,Rsp,L234,Cux2-IRES-Cre,B6.Cg,M,"[8200, 800, 6000]",0.091458
272737914,AI/GI/DI,All,WT,C57BL/6J,M,"[4200, 4700, 9100]",0.195609
272821309,Vis,L234,Cux2-IRES-Cre,B6.Cg,F,"[8800, 1000, 8100]",0.126388
277710753,Amyg,All,WT,C57BL/6J,M,"[6300, 5900, 8800]",0.211792
278317239,Rhi/Tem,L234,Cux2-IRES-Cre,B6.129,M,"[9900, 4100, 10000]",0.287965
278317945,S1/2,L234,Cux2-IRES-Cre,B6.129,M,"[5100, 2200, 9000]",0.143174
283019341,PrL/MO,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[3500, 3400, 6100]",0.386955
283020912,Vis,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[8600, 1200, 8000]",0.043266
286299886,FrA,L234,Cux2-IRES-Cre,B6.Cg,F,"[2200, 3000, 7300]",0.062127
286300594,S1/2,L234,Cux2-IRES-Cre,B6.Cg,M,"[5300, 1700, 8100]",0.162377
286312782,S1/2,L5,Rbp4-Cre_KL100,B6.Cg,F,"[5200, 2200, 8000]",0.080407
286313491,IL,L5,Rbp4-Cre_KL100,B6.Cg,F,"[3900, 3500, 6100]",0.16043
286610216,Sub,NA,Syt17-Cre_NO14,B6.Cg,F,"[8600, 5300, 9300]",0.082374
286610923,Sub,NA,Syt17-Cre_NO14,B6.Cg,M,"[8900, 3700, 9600]",0.188479
287494320,IL,L234,Cux2-IRES-Cre,B6.Cg,F,"[3900, 3500, 6100]",0.172357
287495026,Vis,L234,Cux2-IRES-Cre,B6.Cg,F,"[9200, 2100, 9300]",0.111757
287769286,LO/VO,L5,Rbp4-Cre_KL100,B6.Cg,F,"[2900, 3700, 6900]",0.274778
292373346,Rsp,L5,A930038C07Rik-Tg1-Cre,unknown,F,"[8700, 1500, 6700]",0.091962
292374068,M1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[3300, 2600, 7600]",0.119589
292374777,PrL/MO,L5,A930038C07Rik-Tg1-Cre,unknown,F,"[3600, 3300, 6100]",0.1849
292476595,FrA,L5,A930038C07Rik-Tg1-Cre,unknown,F,"[2800, 2800, 7700]",0.072795
292532065,Sub,NA,Ppp1r17-Cre_NL146,FVB/N-Crl:CD1(ICR),M,"[8600, 2100, 8000]",0.212305
292792016,S1/2,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[5200, 2000, 8000]",0.010348
292792724,Ptl,L5,A930038C07Rik-Tg1-Cre,B6.Cg,M,"[7900, 1300, 8200]",0.032602
293471629,PrL/MO,L234,Cux2-IRES-Cre,B6.Cg,M,"[3000, 3300, 6000]",0.168764
294396492,PrL/MO,L234,Cux2-IRES-Cre,B6.Cg,F,"[3400, 3200, 6100]",0.05761
294481346,Vis,L5,Rbp4-Cre_KL100,unknown,F,"[8700, 1100, 7300]",0.127075
294482052,Vis,L5,Rbp4-Cre_KL100,B6.Cg,M,"[8800, 1300, 8200]",0.05166
294484177,Rsp,L234,Cux2-IRES-Cre,B6.Cg,F,"[9800, 900, 7100]",0.066937
296048512,AI/GI/DI,L5,Rbp4-Cre_KL100,B6.Cg,M,"[3600, 4500, 8200]",0.367829
297652799,S1/2,L5,Rbp4-Cre_KL100,B6.Cg,F,"[6400, 1400, 7600]",0.308236
298324391,Vis,L5,A930038C07Rik-Tg1-Cre,unknown,M,"[8900, 1000, 7400]",0.01477
